"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"189",1.36025166702723,0.217783672952512,-3.31721408624401e-05,5.53116194324999e-05,0.000176276196048319,0.000124009709048534,-0.000388958157081729,0.000169544609742379,-0.000108472157184656,0.000214292998390421,0.000659749521406227
"190",1.36025166702723,0.217783672952512,-3.31721408624407e-05,5.53116194325009e-05,0.000176276196048322,0.000124009709048536,-0.000388958157081736,0.000169544609742382,-0.000108472157184658,0.000214292998390425,0.000659749521406239
"191",1.36025166702723,0.217783672952512,-3.31721408624406e-05,5.53116194325009e-05,0.000176276196048322,0.000124009709048536,-0.000388958157081736,0.000169544609742382,-0.000108472157184658,0.000214292998390425,0.000659749521406239
"192",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"193",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"194",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"195",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"196",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"197",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"198",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"199",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"201",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"202",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"203",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"204",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"205",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"206",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"207",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"208",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"209",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"210",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"211",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"212",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"213",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"214",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"215",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"216",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"217",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"218",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"219",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"220",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"221",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"222",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"223",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"224",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"225",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"226",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"227",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"228",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"229",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"230",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"231",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"232",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"233",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"234",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"235",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"236",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"237",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"238",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"239",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"240",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"241",1.36025166702723,0.217783672952512,-3.31721408624415e-05,5.53116194325023e-05,0.000176276196048326,0.000124009709048539,-0.000388958157081744,0.000169544609742385,-0.00010847215718466,0.00021429299839043,0.000659749521406253
"242",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"243",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"244",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"245",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"246",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"247",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"248",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"249",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"250",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"251",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"252",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"253",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"254",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"255",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"256",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"257",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"258",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"259",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"260",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"261",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"262",1.36025166702723,0.217783672952512,-3.31721408624395e-05,5.5311619432499e-05,0.000176276196048316,0.000124009709048532,-0.000388958157081722,0.000169544609742376,-0.000108472157184654,0.000214292998390418,0.000659749521406216
"263",1.36025166702723,0.217783672952512,-3.31721408624411e-05,5.53116194325014e-05,0.000176276196048324,0.000124009709048537,-0.000388958157081739,0.000169544609742383,-0.000108472157184659,0.000214292998390427,0.000659749521406245
"264",1.36025166702723,0.217783672952512,-3.31721408624416e-05,5.53116194325024e-05,0.000176276196048327,0.000124009709048539,-0.000388958157081745,0.000169544609742386,-0.00010847215718466,0.00021429299839043,0.000659749521406254
"265",1.36025166702723,0.217783672952512,-3.31721408624419e-05,5.53116194325029e-05,0.000176276196048328,0.00012400970904854,-0.000388958157081749,0.000169544609742387,-0.000108472157184661,0.000214292998390432,0.00065974952140626
"266",1.36025166702723,0.217783672952512,-3.31721408624419e-05,5.53116194325029e-05,0.000176276196048328,0.00012400970904854,-0.000388958157081749,0.000169544609742387,-0.000108472157184661,0.000214292998390432,0.00065974952140626
"267",1.36025166702723,0.217783672952512,-3.31721408624419e-05,5.5311619432503e-05,0.000176276196048329,0.000124009709048541,-0.000388958157081749,0.000169544609742388,-0.000108472157184662,0.000214292998390433,0.000659749521406261
"268",1.36025166702723,0.217783672952512,-3.31721408624419e-05,5.53116194325029e-05,0.000176276196048328,0.00012400970904854,-0.000388958157081749,0.000169544609742387,-0.000108472157184661,0.000214292998390432,0.00065974952140626
"269",1.36025166702723,0.217783672952512,-3.31721408624419e-05,5.5311619432503e-05,0.000176276196048329,0.000124009709048541,-0.000388958157081749,0.000169544609742388,-0.000108472157184662,0.000214292998390433,0.000659749521406261
