"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"1",57.7722904993986,55.898926609409,28.249182565956,20.4765062775432,32.9313956363361,-20.5178742430508,-5.91922985869805,14.9005883295519,-14.3004362266429,13.7090662944093,-17.6635416704284
"2",89.6570465538726,52.3624101028686,26.3786426607558,18.6712425974007,28.757173361081,-23.7130215192576,-12.9070350531353,15.3239215760544,-15.939599978274,15.1421924461522,-15.9581880192594
"3",75.3414363622793,72.0321309121645,32.173029350527,18.4665582588717,32.2611636494238,-28.6074444451937,-15.7135288095589,16.9822147901554,-18.404783943004,16.7553406167637,-17.3551514516884
"4",112.995601460537,67.0406149045642,34.2067794223925,23.9740393138885,37.0065981139237,-30.1986472170832,-16.2996023574294,19.8154260748921,-20.066633217344,19.4560598698971,-18.9370443551391
"5",126.174516488682,75.4112515455947,38.8537600814026,27.0958946181702,41.8590886222287,-33.7938764704175,-18.1708418369902,22.4560210305458,-22.3921161891802,21.9802439425681,-20.4496495458704
"6",140.397014041498,84.5147146996802,44.0555561323465,30.5707691309294,47.2541557584776,-37.6073419367274,-20.1494325046697,25.3874963350977,-24.8944825135612,24.7742048697576,-21.9415585876873
"7",155.677846566222,94.3797881339454,49.865213740707,34.4297624041511,53.2359459372685,-41.6174230807728,-22.2240036570056,28.6297802793636,-27.571787686685,27.8559635801774,-23.3779765820267
"8",172.01816883997,105.029385727889,56.3378248324495,38.7047292224136,59.848419055864,-45.7937771372768,-24.3790141997463,32.2012764456656,-30.4183301121184,31.2422268796911,-24.7172329509005
"9",189.402624442367,116.478747271085,63.5296521866913,43.4276674925807,67.1341032125803,-50.0960805176572,-26.5941985614821,36.11793259931,-33.4238145924662,34.9475622593915,-25.9102666807814
"10",207.79619355944,128.733375528574,71.4969049243416,48.6298949033339,75.1324801336588,-54.4727792292944,-28.844020561543,40.392124535265,-36.5724108250989,38.9833915789084,-26.9002525289706
"11",227.140870583887,141.78672191241,80.2940902678478,54.340977735534,83.8779437294817,-58.8599135884906,-31.0971620255854,45.0313545715338,-39.8417137183916,43.3567920958374,-27.6224370646086
"12",247.352278065126,155.617647495999,89.9718639066473,60.5873774230312,93.3972794795779,-63.1801035759288,-33.3160807866865,50.0367796259631,-43.2016222938727,48.0691030737853,-28.0042665767371
